# (c) Der Bundeswahlleiter, Wiesbaden 2020;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;
# ;;;;;
# Stand: 25.06.2020;;;;;
# ;;;;;
# Wahlkreisnummern und -namen bei der Wahl zum 20. Deutschen Bundestag;;;;;
# ;;;;;
Gebietsart;Gebietsnummer;Gebietsname/GebietText;Gebietsname_Abk;UegGebietsart;UegGebietsnummer
WAHLKREIS;253;Augsburg-Land;;LAND;9
WAHLKREIS;254;Donau-Ries;;LAND;9
WAHLKREIS;255;Neu-Ulm;;LAND;9
WAHLKREIS;256;Oberallgäu;;LAND;9
WAHLKREIS;257;Ostallgäu;;LAND;9
WAHLKREIS;258;Stuttgart I;;LAND;8
WAHLKREIS;259;Stuttgart II;;LAND;8
WAHLKREIS;260;Böblingen;;LAND;8
WAHLKREIS;261;Esslingen;;LAND;8
WAHLKREIS;262;Nürtingen;;LAND;8
WAHLKREIS;263;Göppingen;;LAND;8
WAHLKREIS;264;Waiblingen;;LAND;8
WAHLKREIS;265;Ludwigsburg;;LAND;8
WAHLKREIS;266;Neckar-Zaber;;LAND;8
WAHLKREIS;267;Heilbronn;;LAND;8
WAHLKREIS;268;Schwäbisch Hall – Hohenlohe;;LAND;8
WAHLKREIS;269;Backnang – Schwäbisch Gmünd;;LAND;8
WAHLKREIS;270;Aalen – Heidenheim;;LAND;8
WAHLKREIS;271;Karlsruhe-Stadt;;LAND;8
WAHLKREIS;272;Karlsruhe-Land;;LAND;8
WAHLKREIS;273;Rastatt;;LAND;8
WAHLKREIS;274;Heidelberg;;LAND;8
WAHLKREIS;275;Mannheim;;LAND;8
WAHLKREIS;276;Odenwald – Tauber;;LAND;8
WAHLKREIS;277;Rhein-Neckar;;LAND;8
WAHLKREIS;278;Bruchsal – Schwetzingen;;LAND;8
WAHLKREIS;279;Pforzheim;;LAND;8
WAHLKREIS;280;Calw;;LAND;8
WAHLKREIS;281;Freiburg;;LAND;8
WAHLKREIS;282;Lörrach – Müllheim;;LAND;8
WAHLKREIS;283;Emmendingen – Lahr;;LAND;8
WAHLKREIS;284;Offenburg;;LAND;8
WAHLKREIS;285;Rottweil – Tuttlingen;;LAND;8
WAHLKREIS;286;Schwarzwald-Baar;;LAND;8
WAHLKREIS;287;Konstanz;;LAND;8
WAHLKREIS;288;Waldshut;;LAND;8
WAHLKREIS;289;Reutlingen;;LAND;8
WAHLKREIS;290;Tübingen;;LAND;8
WAHLKREIS;291;Ulm;;LAND;8
WAHLKREIS;292;Biberach;;LAND;8
WAHLKREIS;293;Bodensee;;LAND;8
WAHLKREIS;294;Ravensburg;;LAND;8
WAHLKREIS;295;Zollernalb – Sigmaringen;;LAND;8
WAHLKREIS;296;Saarbrücken;;LAND;10
WAHLKREIS;297;Saarlouis;;LAND;10
WAHLKREIS;298;St. Wendel;;LAND;10
WAHLKREIS;299;Homburg;;LAND;10
SONDERGEBIET;995;Berlin-West;;LAND;11
SONDERGEBIET;996;Berlin-Ost;;LAND;11
